drug,reaction,a,b,c,d,PRR,ROR,chi2,pvalue
LEFLUNOMIDE,Treatment failure,1071,5857,6429,1470993,35.52570685049018,41.83901264473212,30931.051627020595,0.0
ENBREL,Rheumatoid arthritis,2173,9711,7619,1464847,35.3381968072255,43.02194736454205,56762.82133889703,0.0
SULFASALAZINE,Treatment failure,1122,6269,6378,1470581,35.15390536887748,41.266631772431566,31792.355734090725,0.0
STELARA,Hepatic enzyme increased,1218,8466,5307,1469359,34.94918777635579,39.8334437073269,32785.46152324719,0.0
CIMZIA,Swelling,1657,9513,6274,1466906,34.83217832957433,40.72515840863505,43278.59160649314,0.0
HYDROXYCHLOROQUINE,Musculoskeletal stiffness,1171,7025,6092,1470062,34.61997248469619,40.22409885901352,32196.959687987877,0.0
ORENCIA,Infusion related reaction,1717,10273,6104,1466256,34.54224796329838,40.14840388201573,43851.85435030486,0.0
XELJANZ,Joint swelling,1799,6692,9059,1466800,34.51730903583697,43.52771533521993,49181.45796293034,0.0
ORENCIA,Mobility decreased,1419,10571,5058,1467302,34.450727524024074,38.94099167657257,36122.80211004638,0.0
XELJANZ,Musculoskeletal stiffness,1201,7290,6062,1469797,34.43603198387207,39.94449212277884,32674.943740674666,0.0
ACTEMRA,Drug intolerance,1618,7997,7246,1467489,34.2487627078917,40.97584762240574,42921.617420095215,0.0
COSENTYX,Mobility decreased,1612,12701,4865,1465172,34.03139778562514,38.22371439301257,38964.30966170921,0.0
ENBREL,Infusion related reaction,1683,10201,6138,1466328,33.973466629026824,39.41355528079157,42468.24770905835,0.0
INFLIXIMAB,Swelling,1194,6520,6737,1469899,33.92591714579965,39.95560197280653,32556.444041066632,0.0
SIMPONI,Musculoskeletal stiffness,1207,7491,6056,1469596,33.813174911069915,39.10025302048941,32176.947737077637,0.0
REMICADE,Swelling,1372,7770,6559,1468649,33.754254642802856,39.53788879594643,36230.06511627001,0.0
ADALIMUMAB,Rheumatoid arthritis,1760,7835,8032,1466723,33.679362798934534,41.02022795861862,46053.93163572735,0.0
NAPROXEN,Mobility decreased,895,6164,5582,1471709,33.55490961197247,38.28181488496328,24440.630248775968,0.0
ACTEMRA,Dry mouth,1144,8471,5303,1469432,33.08789175251717,37.42132914655325,29383.230257390816,0.0
ORENCIA,Swelling,1682,10308,6249,1466111,33.05295512836683,38.28317151621248,41389.73523262488,0.0
SINGULAIR,Wheezing,877,5588,6073,1471812,33.01174063078129,38.035773653901394,23872.251823434905,0.0
ENBREL,Mobility decreased,1361,10523,5116,1467350,32.96174701157317,37.095543237245614,33437.435424715884,0.0
ADALIMUMAB,Infusion related reaction,1374,8221,6447,1468308,32.75698793214533,38.06462707808471,35028.60831804579,0.0
CIMZIA,Infusion related reaction,1554,9616,6267,1466913,32.70347940977444,37.82694103652043,38447.85678501686,0.0
SIMPONI,Joint swelling,1751,6947,9107,1466545,32.61935407669424,40.58905164230408,45318.27741802425,0.0
SINGULAIR,Asthma,1610,4855,11286,1466599,32.61053637554635,43.093124133451525,43523.79625568088,0.0
INFLIXIMAB,Rheumatoid arthritis,1421,6293,8371,1468265,32.49455199341083,39.60622502418102,37300.76623368746,0.0
STELARA,Mobility decreased,1129,8555,5348,1469318,32.14707251001506,36.257539472470576,28229.55045590005,0.0
OXYCODONE,Mobility decreased,941,6959,5536,1470914,31.76765772481159,35.928078175889,24045.592314334222,0.0
OXYCODONE,Infusion related reaction,1136,6764,6685,1469765,31.75912822017932,36.9250610495885,29053.223955197154,0.0
INFLIXIMAB,Musculoskeletal stiffness,1030,6684,6233,1470403,31.63252904524627,36.35298160607865,26323.434123190087,0.0
ENBREL,Swelling,1611,10273,6320,1466146,31.58356100000426,36.37963972783516,38198.444705965136,0.0
GENOTROPIN,Wrong technique in device usage process,1148,8866,5354,1468982,31.568387895347705,35.526487297993675,28078.834799363667,0.0
ADALIMUMAB,Swelling,1351,8244,6580,1468175,31.557628086436868,36.56531313553636,33318.13676814854,0.0
ELIGARD,Device leakage,1255,8501,6087,1468507,31.163131686352184,35.61610548547841,30502.674337076714,0.0
SULFASALAZINE,Confusional state,1424,5967,9147,1467812,31.109751891847463,38.29532030042644,36139.122982557565,0.0
XELJANZ,Sleep disorder,1067,7424,5962,1469897,31.107024759447928,35.434098495753275,26471.49275050363,0.0
SULFASALAZINE,Contusion,1063,6328,6831,1470128,31.0966937418556,36.15244365455985,26911.335512055222,0.0
ACTEMRA,Sleep disorder,1184,8431,5845,1468890,31.069329849327424,35.29208949131576,28763.26459312576,0.0
SIMPONI,Discomfort,1007,7691,5508,1470144,31.0170211668122,34.94721754114322,24814.530455038755,0.0
HYDROXYCHLOROQUINE,Joint swelling,1589,6607,9269,1466885,30.87597872513957,38.06122621934977,39476.16454010384,0.0
STELARA,Infusion related reaction,1312,8372,6509,1468157,30.69435063667128,35.34783702407127,31508.294159187026,0.0
SULFASALAZINE,General physical health deterioration,1621,5770,10586,1466373,30.599643197875245,38.915244865770525,40557.43383430318,0.0
ACTEMRA,Discomfort,1082,8533,5433,1469302,30.54585280779168,34.29232095944181,25875.33300232857,0.0
LEFLUNOMIDE,Alopecia,1629,5299,11384,1466038,30.51566790694448,39.58927104346317,41017.39561055893,0.0
GENOTROPIN,Drug dose omission by device,4676,5338,22666,1451670,30.37305671997437,56.1033701749388,112151.88516173536,0.0
NUCALA,Wheezing,756,5247,6194,1472153,30.057900013506323,34.244630032605,18989.75569437004,0.0
XELJANZ,Discomfort,960,7531,5555,1470304,30.0381510533576,33.73973450990033,23053.94110129045,0.0
COSENTYX,Musculoskeletal stiffness,1642,12671,5621,1464416,30.002480492645105,33.76083208043796,35779.78617091147,0.0
COSENTYX,Psoriasis,1867,12446,6429,1463608,29.826238530851867,34.150405920945104,40512.35345989946,0.0
SIMPONI,Sleep disorder,1050,7648,5979,1469673,29.79375849504076,33.74687648926053,24947.47345171486,0.0
ACTEMRA,Treatment failure,1218,8397,6282,1468453,29.738157358195,33.9066789328385,28452.22354469972,0.0
LEFLUNOMIDE,General physical health deterioration,1492,5436,10715,1466707,29.694316314247256,37.569945442440215,36589.30104762319,0.0
HYDROXYCHLOROQUINE,Sleep disorder,989,7207,6040,1470114,29.490970922659734,33.40072119912851,23478.447648855712,0.0
SULFASALAZINE,Abdominal discomfort,1800,5591,12224,1464735,29.42553726727214,38.57702485108359,43468.88866275118,0.0
ACTEMRA,Wheezing,1116,8499,5834,1468901,29.34015938628632,33.06149341088869,25740.71103903888,0.0
OXYCODONE,Swelling,1074,6826,6857,1469593,29.27263278955442,33.721037069657186,25467.53295199136,0.0
XELJANZ,Drug intolerance,1276,7215,7588,1468271,29.228691894738997,34.22104267196518,29934.16082790821,0.0
INFLECTRA,Condition aggravated,3913,3399,27167,1449871,29.09535436624705,61.43931483553941,94752.43763484844,0.0
SIMPONI,Dry mouth,940,7758,5507,1470145,28.95858416030468,32.346192965497565,21744.38736930446,0.0
SULFASALAZINE,Hypoaesthesia,1384,6007,9576,1467383,28.881330078454603,35.30512911767238,32765.086490002348,0.0
LEFLUNOMIDE,Confusional state,1258,5670,9313,1468109,28.806316024013714,34.975689138336335,29936.285974583043,0.0
ENBREL,Joint swelling,2048,9836,8810,1463656,28.80293048465855,34.591909910500426,44902.19204950072,0.0
XELJANZ,Wheezing,985,7506,5965,1469894,28.70197683795761,32.337261568225166,22685.59821500916,0.0
ENBREL,Musculoskeletal stiffness,1365,10519,5898,1466568,28.675468063097565,32.266780346216514,29730.257120162994,0.0
