drug,reaction,a,n_drug,n_event,b,c,d,PRR,ROR
XELJANZ,Musculoskeletal stiffness,1201,8491,7263,7290,6062,1469797,34.4360319838721,39.9444921227788
ACTEMRA,Drug intolerance,1618,9615,8864,7997,7246,1467489,34.2487627078917,40.9758476224057
COSENTYX,Mobility decreased,1612,14313,6477,12701,4865,1465172,34.0313977856251,38.2237143930126
ENBREL,Infusion related reaction,1683,11884,7821,10201,6138,1466328,33.9734666290268,39.4135552807916
INFLIXIMAB,Swelling,1194,7714,7931,6520,6737,1469899,33.9259171457997,39.9556019728065
SIMPONI,Musculoskeletal stiffness,1207,8698,7263,7491,6056,1469596,33.8131749110699,39.1002530204894
REMICADE,Swelling,1372,9142,7931,7770,6559,1468649,33.7542546428029,39.5378887959464
ADALIMUMAB,Rheumatoid arthritis,1760,9595,9792,7835,8032,1466723,33.6793627989345,41.0202279586186
NAPROXEN,Mobility decreased,895,7059,6477,6164,5582,1471709,33.5549096119725,38.2818148849633
ACTEMRA,Dry mouth,1144,9615,6447,8471,5303,1469432,33.0878917525172,37.4213291465532
ORENCIA,Swelling,1682,11990,7931,10308,6249,1466111,33.0529551283668,38.2831715162125
SINGULAIR,Wheezing,877,6465,6950,5588,6073,1471812,33.0117406307813,38.0357736539014
ENBREL,Mobility decreased,1361,11884,6477,10523,5116,1467350,32.9617470115732,37.0955432372456
ADALIMUMAB,Infusion related reaction,1374,9595,7821,8221,6447,1468308,32.7569879321453,38.0646270780847
CIMZIA,Infusion related reaction,1554,11170,7821,9616,6267,1466913,32.7034794097744,37.8269410365204
SIMPONI,Joint swelling,1751,8698,10858,6947,9107,1466545,32.6193540766942,40.5890516423041
SINGULAIR,Asthma,1610,6465,12896,4855,11286,1466599,32.6105363755463,43.0931241334515
INFLIXIMAB,Rheumatoid arthritis,1421,7714,9792,6293,8371,1468265,32.4945519934108,39.606225024181
STELARA,Mobility decreased,1129,9684,6477,8555,5348,1469318,32.1470725100151,36.2575394724706
OXYCODONE,Mobility decreased,941,7900,6477,6959,5536,1470914,31.7676577248116,35.928078175889
OXYCODONE,Infusion related reaction,1136,7900,7821,6764,6685,1469765,31.7591282201793,36.9250610495885
INFLIXIMAB,Musculoskeletal stiffness,1030,7714,7263,6684,6233,1470403,31.6325290452463,36.3529816060787
ENBREL,Swelling,1611,11884,7931,10273,6320,1466146,31.5835610000043,36.3796397278352
GENOTROPIN,Wrong technique in device usage process,1148,10014,6502,8866,5354,1468982,31.5683878953477,35.5264872979937
ADALIMUMAB,Swelling,1351,9595,7931,8244,6580,1468175,31.5576280864369,36.5653131355364
ELIGARD,Device leakage,1255,9756,7342,8501,6087,1468507,31.1631316863522,35.6161054854784
SULFASALAZINE,Confusional state,1424,7391,10571,5967,9147,1467812,31.1097518918475,38.2953203004264
XELJANZ,Sleep disorder,1067,8491,7029,7424,5962,1469897,31.1070247594479,35.4340984957533
SULFASALAZINE,Contusion,1063,7391,7894,6328,6831,1470128,31.0966937418556,36.1524436545599
ACTEMRA,Sleep disorder,1184,9615,7029,8431,5845,1468890,31.0693298493274,35.2920894913158
